event,lon,lat,id,geo,datetime
12049655058,-79.965,69.154,128150,POINT (-79.965 69.154),2013-09-07 11:51:00.000
12049657651,-79.966,68.979,128151,POINT (-79.96599999999999 68.979),2013-10-06 23:47:00.000
12049684963,-79.968,63.41,128151,POINT (-79.968 63.41),2014-05-20 01:59:00.000
12049654728,-79.972,67.778,128150,POINT (-79.97199999999999 67.77800000000001),2013-08-17 07:36:00.000
12049655007,-79.973,69.004,128150,POINT (-79.973 69.004),2013-09-03 09:05:00.000
12049682757,-79.974,65.489,128146,POINT (-79.974 65.489),2014-11-13 09:33:00.000
12049661534,-79.975,64.098,128152,POINT (-79.97499999999999 64.098),2014-06-24 13:15:00.000
12049653430,-79.979,69.086,128148,POINT (-79.979 69.086),2013-07-12 23:26:00.000
12049691328,-79.981,65.961,201671,POINT (-79.98099999999999 65.961),2005-11-20 22:07:00.000
12049661514,-79.986,64.213,128152,POINT (-79.986 64.21299999999999),2014-06-22 21:55:00.000
12049684268,-79.989,68.503,128150,POINT (-79.989 68.503),2014-09-18 11:28:00.000
12049661796,-79.996,67.462,128152,POINT (-79.996 67.462),2014-07-12 11:10:00.000
12049654665,-79.996,67.703,128150,POINT (-79.996 67.703),2013-08-14 11:14:00.000
12049654998,-79.998,68.95,128150,POINT (-79.998 68.95),2013-09-02 13:01:00.000
12049682066,-80.001,69.18,128146,POINT (-80.001 69.18000000000001),2014-06-26 01:56:00.000
12049684634,-80.011,62.394,128150,POINT (-80.011 62.394),2015-04-30 19:34:00.000
12049680465,-80.011,64.406,128145,POINT (-80.011 64.40600000000001),2014-06-21 23:38:00.000
12049654791,-80.013,67.681,128150,POINT (-80.01300000000001 67.681),2013-08-20 03:10:00.000
12049654754,-80.014,67.725,128150,POINT (-80.014 67.72499999999999),2013-08-18 11:36:00.000
12049679349,-80.015,68.01,114508,POINT (-80.015 68.01000000000001),2014-08-04 18:01:00.000
12049655013,-80.015,69.086,128150,POINT (-80.015 69.086),2013-09-03 21:06:00.000
12049684947,-80.02,63.403,128151,POINT (-80.02 63.403),2014-05-10 01:36:00.000
12049655039,-80.021,68.434,128150,POINT (-80.021 68.434),2013-09-05 23:16:00.000
12049683934,-80.025,67.66,128150,POINT (-80.02500000000001 67.66),2014-07-12 23:18:00.000
12049679218,-80.033,67.837,114508,POINT (-80.033 67.837),2014-07-22 07:50:00.000
12049655327,-80.033,68.709,128150,POINT (-80.033 68.709),2013-10-07 09:55:00.000
12049681826,-80.034,66.664,128146,POINT (-80.03400000000001 66.664),2013-10-25 21:31:00.000
12049661531,-80.041,64.19,128152,POINT (-80.041 64.19),2014-06-23 23:11:00.000
12049685922,-80.042,66.172,128151,POINT (-80.042 66.172),2014-10-31 01:24:00.000
12049686160,-80.044,62.449,128151,POINT (-80.044 62.449),2015-04-04 09:57:00.000
12049661551,-80.047,64.236,128152,POINT (-80.047 64.236),2014-06-25 13:42:00.000
12049681464,-80.048,69.246,128146,POINT (-80.048 69.246),2013-09-12 09:29:00.000
12049683955,-80.051,67.81,128150,POINT (-80.051 67.81),2014-07-20 15:35:00.000
12049654596,-80.057,67.464,128150,POINT (-80.057 67.464),2013-08-11 07:06:00.000
12049654762,-80.057,67.678,128150,POINT (-80.057 67.678),2013-08-19 01:39:00.000
12049684306,-80.057,68.604,128150,POINT (-80.057 68.604),2014-10-01 19:31:00.000
12049681646,-80.059,69.194,128146,POINT (-80.059 69.194),2013-10-03 01:49:00.000
12049655107,-80.059,69.125,128150,POINT (-80.059 69.125),2013-09-12 01:11:00.000
12049650263,-80.059,67.045,114505,POINT (-80.059 67.045),2013-06-23 03:30:00.000
