event,id,lon,lat,datetime,geo
7980536036,LA11,15.78985901,-18.72770589,2010-03-19 13:21:00.000,POINT (15.78985901 -18.72770589)
7980536047,LA11,15.71654358,-18.80866089,2010-03-20 08:20:00.000,POINT (15.71654358 -18.80866089)
7980536062,LA11,15.67191874,-18.70721436,2010-03-21 09:41:00.000,POINT (15.67191874 -18.70721436)
7980536100,LA11,15.76347555,-18.78618774,2010-03-24 17:41:00.000,POINT (15.76347555 -18.78618774)
7980536192,LA11,15.64849345,-18.793809,2010-04-02 17:20:00.000,POINT (15.64849345 -18.793809)
7980536212,LA11,15.7405955,-18.75314941,2010-04-04 18:01:00.000,POINT (15.7405955 -18.75314941)
7980536289,LA11,15.63403829,-18.78237915,2010-04-12 17:40:00.000,POINT (15.63403829 -18.78237915)
7980536296,LA11,15.58830058,-18.87630208,2010-04-13 11:40:00.000,POINT (15.58830058 -18.87630208)
7980536301,LA11,15.51626892,-18.98380534,2010-04-13 18:41:00.000,POINT (15.51626892 -18.98380534)
7980536314,LA11,15.56802979,-19.19317017,2010-04-15 00:40:00.000,POINT (15.56802979 -19.19317017)
7980536319,LA11,15.6742686,-19.23783773,2010-04-15 11:01:00.000,POINT (15.6742686 -19.23783773)
7980536322,LA11,15.77798055,-19.26312866,2010-04-15 16:00:00.000,POINT (15.77798055 -19.26312866)
7980536334,LA11,15.8719869,-19.20669556,2010-04-16 09:20:00.000,POINT (15.8719869 -19.20669556)
7980536337,LA11,15.97389933,-19.20630697,2010-04-16 17:21:00.000,POINT (15.97389933 -19.20630697)
7980536339,LA11,16.0971578,-19.2276652,2010-04-17 00:20:00.000,POINT (16.0971578 -19.2276652)
7980536350,LA11,16.19470927,-19.26954956,2010-04-18 10:01:00.000,POINT (16.19470927 -19.26954956)
7980536381,LA11,16.29222209,-19.23373006,2010-04-22 02:00:00.000,POINT (16.29222209 -19.23373006)
7980536392,LA11,16.11584473,-19.35622762,2010-05-02 17:40:00.000,POINT (16.11584473 -19.35622762)
7980536615,LA11,16.03634644,-19.26604004,2010-05-24 13:21:00.000,POINT (16.03634644 -19.26604004)
7980536632,LA11,15.93681234,-19.24341634,2010-05-25 18:20:00.000,POINT (15.93681234 -19.24341634)
7980536656,LA11,15.83365275,-19.2371521,2010-05-28 01:21:00.000,POINT (15.83365275 -19.2371521)
7980536673,LA11,15.73416341,-19.25326945,2010-05-29 19:20:00.000,POINT (15.73416341 -19.25326945)
